key,en,id
"T_NAME_ASR","Asr","Asar"
"T_NAME_DHUHR","Dhuhr","Zuhur"
"T_NAME_FAJR","Fajr","Subuh"
"T_NAME_FIRSTTHIRD","First Third","Sepertiga Awal"
"T_NAME_IMSAK","Imsak","Imsak"
"T_NAME_ISHA","Isha","Isya"
"T_NAME_LASTTHIRD","Last Third","Sepertiga Akhir"
"T_NAME_MAGHRIB","Maghrib","Maghrib"
"T_NAME_MIDNIGHT","Midnight","Tengah Malam"
"T_NAME_SUNRISE","Sunrise","Terbit"
"T_NAME_SUNSET","Sunset","Terbenam"
"T_MONTH_G_JANUARY","January","Januari"
"T_MONTH_G_FEBRUARY","February","Februari"
"T_MONTH_G_MARCH","March","Maret"
"T_MONTH_G_APRIL","April","April"
"T_MONTH_G_MAY","May","Mei"
"T_MONTH_G_JUNE","June","Juni"
"T_MONTH_G_JULY","July","Juli"
"T_MONTH_G_AUGUST","August","Agustus"
"T_MONTH_G_SEPTEMBER","September","September"
"T_MONTH_G_OCTOBER","October","Oktober"
"T_MONTH_G_NOVEMBER","November","November"
"T_MONTH_G_DECEMBER","December","Desember"
"T_MONTH_H_MUHARRAM","Muharram","Muharram"
"T_MONTH_H_SAFAR","Safar","Safar"
"T_MONTH_H_RABI_AWWAL","Rabi' al-Awwal","Rabi'ul Awal"
"T_MONTH_H_RABI_THANI","Rabi' al-Thani","Rabi'ul Akhir"
"T_MONTH_H_JUMADA_AWWAL","Jumada al-Awwal","Jumada Awal"
"T_MONTH_H_JUMADA_THANI","Jumada al-Thani","Jumada Akhir"
"T_MONTH_H_RAJAB","Rajab","Rajab"
"T_MONTH_H_SHABAN","Shaban","Sya'ban"
"T_MONTH_H_RAMADAN","Ramadan","Ramadhan"
"T_MONTH_H_SHAWWAL","Shawwal","Syawal"
"T_MONTH_H_DHU_AL_QIDAH","Dhu al-Qi'dah","Dzulqa'dah"
"T_MONTH_H_DHU_AL_HIJJAH","Dhu al-Hijjah","Dzulhijjah"
"T_WEEKDAY_G_SUNDAY","Sunday","Minggu"
"T_WEEKDAY_G_MONDAY","Monday","Senin"
"T_WEEKDAY_G_TUESDAY","Tuesday","Selasa"
"T_WEEKDAY_G_WEDNESDAY","Wednesday","Rabu"
"T_WEEKDAY_G_THURSDAY","Thursday","Kamis"
"T_WEEKDAY_G_FRIDAY","Friday","Jum'at"
"T_WEEKDAY_G_SATURDAY","Saturday","Sabtu"
"T_WEEKDAY_H_AHAD","Ahad","Ahad"
"T_WEEKDAY_H_ITHNAYN","Ithnayn","Isnin"
"T_WEEKDAY_H_THULATHA","Thulatha","Selasa"
"T_WEEKDAY_H_ARBAA","Arbaa","Rabu"
"T_WEEKDAY_H_KHAMIS","Khamis","Kamis"
"T_WEEKDAY_H_JUMUAH","Jumu'ah","Jum'at"
"T_WEEKDAY_H_SABT","Sabt","Sabtu"
"T_CURRENT_PRESENT_HOUR","{value} hours ago","{value} jam yang lalu"
"T_CURRENT_PRESENT_MINUTE","{value} minutes ago","{value} menit yang lalu"
"T_CURRENT_FUTURE_HOUR","{value} hours later","{value} jam lagi"
"T_CURRENT_FUTURE_MINUTE","{value} minutes later","{value} menit lagi"
"T_NOTIFY_SUBTEXT","It is now","Sekarang waktunya"
